experiment,pretrained,uses_photo,horizon_min,mae,rmse,crps,coverage_90,ece
scratch_no_photo,False,False,30,30.03,35.82,21.96,0.652,0.285
scratch_no_photo,False,False,60,30.02,37.63,22.28,0.665,0.231
scratch_no_photo,False,False,120,30.98,40.18,23.24,0.660,0.211
scratch_with_photo,False,True,30,30.36,36.07,21.59,0.727,0.282
scratch_with_photo,False,True,60,30.73,37.99,22.34,0.708,0.240
scratch_with_photo,False,True,120,31.77,40.68,23.45,0.693,0.221
pretrain_no_photo,True,False,30,26.55,31.22,18.12,0.892,0.242
pretrain_no_photo,True,False,60,27.05,33.27,18.88,0.873,0.189
pretrain_no_photo,True,False,120,28.08,35.37,19.74,0.862,0.174
pretrain_with_photo,True,True,30,23.11,27.65,16.05,0.896,0.200
pretrain_with_photo,True,True,60,24.53,30.89,17.31,0.878,0.151
pretrain_with_photo,True,True,120,25.72,33.99,18.54,0.853,0.129
