table,dataset,nfe,config_name,split_seed,seed,in_len,use_anchor,warm_start
A,Broll,1,broll_arima_anchor_s40,10,40,192,True,True
A,Broll,2,broll_arima_anchor_s40,10,40,192,True,True
A,Broll,4,broll_arima_anchor_s40,10,40,192,True,True
A,Colas,1,idfix_corr_h144_s10,10,42,144,True,True
A,Colas,2,idfix_corr_h144_s10_glufext_ns128,10,42,144,True,True
A,Colas,4,idfix_corr_h144_s10_glufext_ns128,10,42,144,True,True
A,Dubosson,1,dubosson_finecal_s51,10,51,108,True,True
A,Dubosson,2,dubosson_finecal_s51,10,51,108,True,True
A,Dubosson,4,dubosson_finecal_s51,10,51,108,True,True
A,Hall,1,tableb_widescale_ns128,10,42,84,True,True
A,Hall,2,tableb_widescale_ns128,10,42,84,True,True
A,Hall,4,tableb_widescale_ns128,10,42,84,True,True
A,Weinstock,1,tableb_widescale_ns64,10,42,168,True,True
A,Weinstock,2,tableb_widescale_ns64,10,42,168,True,True
A,Weinstock,4,tableb_widescale_ns64,10,42,168,True,True
B,Broll,1,broll_final_s116,10,116,192,True,True
B,Broll,2,broll_final_s115,10,115,192,True,True
B,Broll,4,broll_final_s115,10,115,192,True,True
B,Colas,1,tableb_scale02_ns128,10,42,24,True,True
B,Colas,2,tableb_scale02_ns128,10,42,24,True,True
B,Colas,4,tableb_scale02_ns128,10,42,24,True,True
B,Dubosson,1,tableb_finecal_ns64,10,42,132,True,True
B,Dubosson,2,tableb_finecal_ns64,10,42,132,True,True
B,Dubosson,4,tableb_finecal_ns64,10,42,132,True,True
B,Hall,1,tableb_widescale_ns128,10,42,84,True,True
B,Hall,2,tableb_widescale_ns128,10,42,84,True,True
B,Hall,4,tableb_widescale_ns128,10,42,84,True,True
B,Weinstock,1,tableb_widescale_ns64,10,42,168,True,True
B,Weinstock,2,tableb_widescale_ns64,10,42,168,True,True
B,Weinstock,4,tableb_widescale_ns64,10,42,168,True,True
